          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1856   0.2299   0.1617   0.2477   0.1537   0.1701   0.2198   0.2155   0.2093   0.2687   0.1032   0.1557   0.2295
1857   0.2279  -0.0462  -0.0472   0.0217  -0.0538   0.1058   0.1195   0.0023   0.0157  -0.1527  -0.1442  -0.2794
1858  -0.2040  -0.2982  -0.0402   0.2287   0.0701  -0.0311  -0.1704  -0.0636   0.0697   0.1322   0.3007   0.1285
1859  -0.1140  -0.1022   0.0927   0.1687   0.0701  -0.0901  -0.1884   0.0723   0.0817   0.1142   0.0877   0.0905
1860   0.1369  -0.0922   0.0957  -0.0472   0.1551   0.3168   0.2245   0.0513  -0.0002   0.0982   0.0237   0.1525
1861   0.0249  -0.0862   0.0307   0.2717   0.1831   0.3078   0.4115   0.3163   0.2667   0.2052   0.2497   0.1285
1862  -0.0010  -0.1382  -0.0332  -0.0992  -0.1908  -0.0261  -0.2934  -0.2506  -0.2472  -0.2717  -0.3162  -0.3424
1863  -0.1180  -0.0162   0.0697   0.0787   0.0161  -0.0211  -0.2914  -0.2806  -0.1462  -0.2377  -0.1402  -0.0984
1864  -0.1740  -0.3252  -0.1362  -0.0042   0.0681   0.1378   0.2655   0.3693   0.2087   0.1242   0.2277   0.2085
1865   0.2219   0.2807   0.2087   0.0917   0.0241   0.2218   0.1255   0.0623   0.2977   0.2492   0.2557   0.2355
1866   0.0819   0.2077   0.2577   0.1627   0.1701   0.3738   0.2855   0.2803   0.1617   0.1392   0.3077   0.2965
1867   0.3449   0.3157   0.4327   0.3297   0.1551   0.1138   0.1145   0.0943   0.0187  -0.0267   0.1557  -0.0294
1868   0.0979   0.1657   0.2517   0.2977   0.1881   0.3548   0.4155   0.2303   0.1657  -0.1097  -0.0102   0.1485
1869  -0.0740   0.1297   0.1297   0.2837   0.2861   0.2458   0.2935   0.1643   0.1167   0.0002   0.0047  -0.0584
1870  -0.1170   0.0497   0.0127  -0.1262  -0.0228   0.0218  -0.0244   0.1323   0.1747   0.1662   0.2247   0.1395
1871  -0.0920  -0.0752   0.1877   0.2237   0.1511   0.1678   0.1905   0.0923  -0.0602  -0.1357   0.0497   0.1195
1872  -0.0230  -0.0082  -0.0252  -0.0262   0.1871   0.2558   0.3045   0.4213   0.4457   0.0612   0.0227  -0.0154
1873   0.1029   0.0527   0.1037   0.0947  -0.0358   0.0018   0.1075   0.0843   0.1777   0.0982   0.1197   0.1785
1874   0.1029  -0.0622  -0.0532  -0.0382   0.0311   0.2058   0.1255   0.0283   0.2147  -0.0207   0.0037  -0.2484
1875  -0.1120   0.1197   0.1037   0.0727   0.1831   0.2158   0.0315   0.1353   0.1757   0.0932   0.0057  -0.0324
1876  -0.1480  -0.0192  -0.0202  -0.0132  -0.0498   0.0438   0.1465   0.2223   0.1887  -0.0297  -0.0142   0.0295
1877   0.0669   0.2167   0.3147   0.2067   0.2811   0.3778   0.3355   0.4153   0.3077   0.2612   0.3727   0.3705
1878   0.3059   0.3977   0.4227   0.7087   0.5541   0.6838   0.4585   0.6423   0.5957   0.3512   0.4467   0.5245
1879   0.3909   0.4447   0.1007   0.1047   0.2771   0.2358   0.1255   0.0733   0.0277   0.0962   0.1457   0.1755
1880   0.1469   0.0727   0.1727   0.0327  -0.1048   0.0508   0.1615   0.1633   0.3077   0.2672   0.2277  -0.0244
1881   0.2419   0.1957   0.2767   0.2947   0.1521   0.1858   0.0555   0.1093   0.0337  -0.0287  -0.2222  -0.0314
1882  -0.0540  -0.0222   0.0577  -0.0512  -0.0888   0.0688   0.1115   0.1373   0.1017   0.0292   0.1017   0.0835
1883   0.0329  -0.0842  -0.0582   0.1087   0.0791   0.0438   0.0105   0.0903  -0.0262  -0.0637   0.0847   0.2055
1884   0.1179  -0.0582  -0.0102   0.0237   0.0021   0.2148   0.0295   0.0683  -0.0812  -0.0897  -0.2432  -0.0374
1885   0.0239   0.1347   0.0707  -0.1582  -0.1098  -0.0481   0.0405   0.1963   0.1097   0.0922   0.1137   0.1155
1886   0.2269   0.2217   0.2927   0.3027   0.2941   0.2918   0.3155   0.1503   0.0807   0.0452   0.0927   0.0655
1887   0.0009   0.0117   0.0897   0.0347   0.1091   0.3118   0.4125   0.2953   0.2407   0.3092   0.2957   0.2765
1888   0.3419   0.2787   0.3777   0.2327   0.2031   0.3538   0.2705   0.2463   0.2417   0.3322   0.2477   0.1785
1889   0.3489   0.3557   0.4447   0.4117   0.3771   0.3168   0.1485   0.1853   0.1857   0.1692   0.2857   0.1395
1890   0.1329   0.1157   0.0767  -0.0522  -0.0798  -0.0081  -0.1794  -0.2076  -0.1742  -0.0127  -0.1592  -0.1564
1891  -0.1710   0.0187   0.1937   0.2157   0.2481   0.2618   0.3215   0.1963   0.0967   0.0982  -0.1222   0.1135
1892   0.1709   0.2297   0.2177   0.1127  -0.0558  -0.0461  -0.1694  -0.0066  -0.1222  -0.1057  -0.1582  -0.0794
1893   0.0089   0.0557   0.0817  -0.0432  -0.0598   0.2288   0.2635   0.2643   0.1457   0.0192   0.1447  -0.0554
1894  -0.0340  -0.0532  -0.0582  -0.1682  -0.2788  -0.2171  -0.1384  -0.1326  -0.1282  -0.2537  -0.1882  -0.1234
1895   0.0019   0.0327  -0.1322  -0.1732  -0.1248   0.0028   0.0185   0.0133   0.1747   0.1572   0.0187   0.0575
1896   0.0539   0.1517   0.0937   0.1677   0.3411   0.3008   0.1945   0.1903   0.4157   0.2452   0.1737   0.1635
1897   0.1999   0.2517   0.4377   0.3677   0.2471   0.2108   0.1905   0.1283   0.1497   0.1632   0.1157   0.0965
1898   0.1069   0.1787   0.2437   0.1837   0.1771   0.3238   0.3125   0.2523   0.2107   0.0622   0.0027   0.1115
1899   0.0599   0.0727   0.1307   0.2107   0.2921   0.3048   0.2105   0.3853   0.2377   0.1842   0.3347   0.4135
1900   0.3369   0.3307   0.2037   0.2937   0.0911   0.1218   0.1955   0.1193   0.1617   0.2132   0.1837   0.2555
1901   0.1809   0.3177   0.3047   0.2837   0.1781   0.3428   0.2905   0.3043   0.1177  -0.0077   0.0627   0.0565
1902   0.0179   0.1007   0.1247  -0.0142   0.0081  -0.1251  -0.1824  -0.0466   0.1167   0.1182   0.0277   0.0375
1903   0.0949   0.1887   0.0917   0.0677  -0.0428  -0.0471  -0.0534  -0.3176  -0.3372  -0.2627  -0.0932  -0.1674
1904  -0.2130  -0.2362  -0.2272  -0.2842  -0.2948  -0.2991  -0.2254  -0.2196  -0.3572  -0.2647  -0.0512  -0.0274
1905  -0.0850  -0.0432  -0.2052  -0.0322   0.0411  -0.0401   0.0595  -0.0126  -0.2332  -0.1447  -0.1192  -0.1164
1906   0.0699   0.1087   0.1027   0.0977  -0.0538   0.1418   0.1085   0.0673   0.0047  -0.0317   0.1337  -0.0944
1907  -0.0410  -0.2062  -0.0972  -0.0172  -0.0408  -0.1181  -0.1634  -0.1806  -0.0512  -0.1087  -0.0742  -0.0574
1908  -0.0850  -0.0872  -0.0812  -0.0622  -0.0528   0.0738   0.1435   0.1443   0.0407  -0.0077   0.0007   0.0135
1909   0.0439   0.0047   0.0607  -0.0002   0.1061   0.0118  -0.0454   0.0553   0.0167  -0.0357  -0.1332  -0.0964
1910  -0.1560  -0.1012  -0.0962  -0.1592  -0.2258  -0.2181  -0.1644  -0.1186   0.0277  -0.0727   0.0827  -0.1024
1911  -0.0990  -0.1002  -0.1412  -0.1662  -0.2258  -0.0941  -0.0414   0.0783   0.0177   0.0072  -0.0672  -0.0304
1912  -0.0810  -0.1052  -0.0492  -0.0122   0.0051  -0.0031  -0.1274  -0.2486  -0.1062  -0.1277  -0.0572  -0.0904
1913  -0.1490  -0.0552  -0.0532  -0.2822  -0.3258  -0.4161  -0.3074  -0.2866  -0.2872  -0.2567  -0.2882  -0.1794
1914  -0.0630  -0.1592  -0.2322  -0.2232  -0.1378  -0.2251  -0.2974  -0.2196  -0.0452   0.0142  -0.0142  -0.0784
1915   0.0339   0.0447   0.1727   0.2147   0.3891   0.4488   0.4535   0.3653   0.3427   0.1592   0.1657   0.1635
