          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1856   0.0283  -0.0429   0.0178  -0.0691  -0.0362  -0.0298  -0.0259  -0.0498   0.0150  -0.1102  -0.0606   0.0204
1857   0.0263  -0.2509  -0.2771  -0.2011  -0.2602  -0.1438  -0.1219  -0.2568  -0.2379  -0.3662  -0.3606  -0.4885
1858  -0.4056  -0.5029  -0.2701   0.0058  -0.1362  -0.2808  -0.4119  -0.3228  -0.1839  -0.0812   0.0843  -0.0805
1859  -0.3156  -0.3069  -0.1371  -0.0541  -0.1362  -0.3398  -0.4299  -0.1868  -0.1719  -0.0992  -0.1286  -0.1185
1860  -0.0646  -0.2969  -0.1341  -0.2701  -0.0512   0.0671  -0.0169  -0.2078  -0.2539  -0.1152  -0.1926  -0.0565
1861  -0.1766  -0.2909  -0.1991   0.0488  -0.0232   0.0581   0.1700   0.0571   0.0130  -0.0082   0.0333  -0.0805
1862  -0.2026  -0.3429  -0.2631  -0.3221  -0.3972  -0.2758  -0.5349  -0.5098  -0.5009  -0.4852  -0.5326  -0.5515
1863  -0.3196  -0.2209  -0.1601  -0.1441  -0.1902  -0.2708  -0.5329  -0.5398  -0.3999  -0.4512  -0.3566  -0.3075
1864  -0.3756  -0.5299  -0.3661  -0.2271  -0.1382  -0.1118   0.0240   0.1101  -0.0449  -0.0892   0.0113  -0.0005
1865   0.0203   0.0760  -0.0211  -0.1311  -0.1822  -0.0278  -0.1159  -0.1968   0.0440   0.0357   0.0393   0.0264
1866  -0.1196   0.0030   0.0278  -0.0601  -0.0362   0.1241   0.0440   0.0211  -0.0919  -0.0742   0.0913   0.0874
1867   0.1433   0.1110   0.2028   0.1068  -0.0512  -0.1358  -0.1269  -0.1648  -0.2349  -0.2402  -0.0606  -0.2385
1868  -0.1036  -0.0389   0.0218   0.0748  -0.0182   0.1051   0.1740  -0.0288  -0.0879  -0.3232  -0.2266  -0.0605
1869  -0.2756  -0.0749  -0.1001   0.0608   0.0797  -0.0038   0.0520  -0.0948  -0.1369  -0.2132  -0.2116  -0.2675
1870  -0.3186  -0.1549  -0.2171  -0.3491  -0.2292  -0.2278  -0.2659  -0.1268  -0.0789  -0.0472   0.0083  -0.0695
1871  -0.2936  -0.2799  -0.0421   0.0008  -0.0552  -0.0818  -0.0509  -0.1668  -0.3139  -0.3492  -0.1666  -0.0895
1872  -0.2246  -0.2129  -0.2551  -0.2491  -0.0192   0.0061   0.0630   0.1621   0.1920  -0.1522  -0.1936  -0.2245
1873  -0.0986  -0.1519  -0.1261  -0.1281  -0.2422  -0.2478  -0.1339  -0.1748  -0.0759  -0.1152  -0.0966  -0.0305
1874  -0.0986  -0.2669  -0.2831  -0.2611  -0.1752  -0.0438  -0.1159  -0.2308  -0.0389  -0.2342  -0.2126  -0.4575
1875  -0.3136  -0.0849  -0.1261  -0.1501  -0.0232  -0.0338  -0.2099  -0.1238  -0.0779  -0.1202  -0.2106  -0.2415
1876  -0.3496  -0.2239  -0.2501  -0.2361  -0.2562  -0.2058  -0.0949  -0.0368  -0.0649  -0.2432  -0.2306  -0.1795
1877  -0.1346   0.0120   0.0848  -0.0161   0.0747   0.1281   0.0940   0.1561   0.0540   0.0477   0.1563   0.1614
1878   0.1043   0.1930   0.1928   0.4858   0.3477   0.4341   0.2170   0.3831   0.3420   0.1377   0.2303   0.3154
1879   0.1893   0.2400  -0.1291  -0.1181   0.0707  -0.0138  -0.1159  -0.1858  -0.2259  -0.1172  -0.0706  -0.0335
1880  -0.0546  -0.1319  -0.0571  -0.1901  -0.3112  -0.1988  -0.0799  -0.0958   0.0540   0.0537   0.0113  -0.2335
1881   0.0403  -0.0089   0.0468   0.0718  -0.0542  -0.0638  -0.1859  -0.1498  -0.2199  -0.2422  -0.4386  -0.2405
1882  -0.2556  -0.2269  -0.1721  -0.2741  -0.2952  -0.1808  -0.1299  -0.1218  -0.1519  -0.1842  -0.1146  -0.1255
1883  -0.1686  -0.2889  -0.2881  -0.1141  -0.1272  -0.2058  -0.2309  -0.1688  -0.2799  -0.2772  -0.1316  -0.0035
1884  -0.0836  -0.2629  -0.2401  -0.1991  -0.2042  -0.0348  -0.2119  -0.1908  -0.3349  -0.3032  -0.4596  -0.2465
1885  -0.1776  -0.0699  -0.1591  -0.3811  -0.3162  -0.2978  -0.2009  -0.0628  -0.1439  -0.1212  -0.1026  -0.0935
1886   0.0253   0.0170   0.0628   0.0798   0.0877   0.0421   0.0740  -0.1088  -0.1729  -0.1682  -0.1236  -0.1435
1887  -0.2006  -0.1929  -0.1401  -0.1881  -0.0972   0.0621   0.1710   0.0361  -0.0129   0.0957   0.0793   0.0674
1888   0.1403   0.0740   0.1478   0.0098  -0.0032   0.1041   0.0290  -0.0128  -0.0119   0.1187   0.0313  -0.0305
1889   0.1473   0.1510   0.2148   0.1888   0.1707   0.0671  -0.0929  -0.0738  -0.0679  -0.0442   0.0693  -0.0695
1890  -0.0686  -0.0889  -0.1531  -0.2751  -0.2862  -0.2578  -0.4209  -0.4668  -0.4279  -0.2262  -0.3756  -0.3655
