Normalized to period: 1870-2023 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1870  -0.9326  -1.1371  -0.7065  -0.6982  -1.1095  -0.9637  -0.8967  -0.7692  -0.3982  -0.7986  -0.6792  -0.7459
1871  -0.1826  -0.5271  -0.3065  -0.3882  -0.5395  -0.4137  -0.4667  -0.2192  -0.1082  -0.2186  -0.1892  -0.5259
1872  -0.6526  -0.5671  -0.3765  -0.6582  -0.4495  -0.4137  -0.1767  -0.7392  -0.8882  -0.8286  -0.6792  -0.8259
1873  -0.7226  -0.9571  -1.1865  -0.5582  -0.3695  -0.3637  -0.4367  -0.2792  -0.2082  -0.6586  -0.6592  -0.6459
1874  -0.8726  -1.0071  -1.2865  -0.8282  -0.6995  -0.6137  -0.8667  -0.9392  -0.9982  -1.1286  -1.2092  -1.0859
1875  -0.6426  -0.3171  -0.4765  -0.7582  -0.9295  -0.6537  -0.7167  -0.6992  -0.7782  -0.7186  -0.5292  -0.7059
1876  -0.8826  -1.1471  -1.0065  -1.0682  -0.9195  -0.3237  -0.2067  -0.0492   0.1118   0.2314   0.2608   0.2741
1877   0.4174   0.5129   0.6435   0.6118   0.9205   1.0963   1.5533   1.6608   1.8818   2.0614   2.2008   2.5341
1878   2.4774   2.4829   1.4335   1.0318   0.9905   1.0363   0.3933   0.0008  -0.1882  -0.4186  -0.5892  -0.7059
1879  -0.4826  -0.1271  -0.1165  -0.2582  -0.6695  -0.5537  -0.6267  -0.5792  -0.6882  -0.8186  -1.0192  -0.9759
1880  -0.9326  -0.6771  -0.5065  -0.4582  -0.5495  -0.4937  -0.3867  -0.1292   0.1018   0.2814   0.3608   0.2341
1881   0.3574   0.2829   0.4435   0.5218   0.3305   0.3463  -0.1267  -0.0492  -0.1982  -0.3086  -0.4792  -0.3159
1882  -0.3826  -0.4971  -0.4065   0.2118   0.1805  -0.2837  -0.4367  -0.2092  -0.3782  -0.5386  -0.7992  -0.7059
1883  -0.3926  -0.4371  -0.2765  -0.1182  -0.2095  -0.0937   0.1233   0.0908  -0.0382  -0.2986  -0.1092  -0.0959
1884  -0.0426   0.0429   0.1235   0.3718   0.5605  -0.0237   0.4233   0.3208   0.3218   0.4014   0.4108   0.3941
1885   0.1874   0.3229   0.2435   0.0918   0.6005   0.2763   0.2133   0.4508   0.6518   0.8314   0.9208   1.0741
1886   0.2374  -0.0371   0.0135  -0.2582  -0.6795  -0.7837  -0.8367  -0.9092  -1.0782  -1.0286  -1.2292  -1.3859
1887  -0.6126  -0.9671  -1.0565  -1.0682  -0.9795  -0.4537  -0.4067  -0.5092  -0.2082  -0.0086   0.1508   0.2041
1888   0.2174   0.7129   0.5235   0.4118   0.6405   0.5163   0.6933   1.0408   0.7118   1.5414   2.3208   1.7241
1889   2.0474   1.5329   0.9535   0.5718   0.4905   0.2063  -0.6167  -0.8792  -0.7882  -1.1986  -0.9692  -1.1959
1890  -2.4226  -2.0571  -1.0265  -1.0282  -0.8295  -0.7537  -0.7867  -1.2592  -1.1582  -1.1486  -0.9592  -0.6359
1891  -0.3826  -0.1971   0.0535   0.2618   0.2905   0.3963   0.2533   0.1708   0.0518   0.0814   0.1708   0.0641
1892  -0.4326  -0.2871  -0.4565  -0.5382  -0.5595  -0.4537  -0.4867  -0.5092  -0.9382  -1.4286  -1.5092  -1.1259
1893  -1.1626  -1.1071  -1.1165  -1.1882  -1.1495  -1.0737  -1.1767  -1.1792  -1.1382  -1.2486  -1.1892  -0.9459
1894  -1.0226  -1.0771  -0.9365  -0.8082  -0.8295  -0.7237  -0.7467  -0.6892  -0.9682  -0.7086  -0.8092  -0.4259
1895  -0.6626  -0.4271  -0.2765  -0.0582   0.1305  -0.1037  -0.1267   0.4708   0.5518   0.4314   0.5608   0.5341
1896   0.2274   0.1429   0.2735   0.1018   0.1205  -0.0937   0.5733   1.1608   1.1718   1.2114   1.6208   1.6041
1897   1.5574   1.1929   0.6635  -0.1082  -0.0095   0.0863   0.2033  -0.0292  -0.1082  -0.4486  -0.4992  -0.3459
1898  -0.4426  -0.5171  -0.6665  -0.4982  -0.4195  -0.1737  -0.4967  -0.6492  -0.0582  -0.2186  -0.5392  -0.7359
1899  -0.6826  -0.6571  -0.4465  -0.2282   0.2005   0.2063   0.1133   0.7508   0.5618   1.0414   1.4008   1.5541
1900   1.4774   1.3529   1.1135   0.7718   0.7005   0.8763   0.8833   0.8908   0.6918   0.5314   0.2508   0.6541
1901   0.8874   0.3529   0.1635  -0.0182  -0.0195  -0.1437  -0.1567  -0.2592  -0.1682  -0.1986  -0.2792  -0.2959
1902  -0.4326  -0.2071  -0.1465   0.3118   0.6405   0.8763   1.5833   1.3308   1.5718   1.5114   1.6508   1.4441
1903   1.3974   0.9829   0.9135   0.4718   0.0705   0.4063  -0.3467  -0.2092  -0.4682  -0.3086  -0.6492  -0.9659
1904  -0.6726  -0.7371  -0.7365  -0.6082  -0.2295   0.2563   0.8933   0.6608   0.1418   1.0314   0.2708   0.9041
1905   0.7474   0.7729   1.0435   0.4018   1.2405   0.7063   0.9633   1.1608   1.5618   1.2314   0.9408   1.2241
1906   0.9574   0.7329   0.9235   0.5618   0.1805   0.2563  -0.3567  -0.2492  -0.6782  -0.7486  -0.2092  -0.4659
1907  -0.5026  -0.3471  -0.3065  -0.4482  -0.3095  -0.2937  -0.4067  -0.5392   0.2618  -0.1386  -0.1392  -0.0459
1908  -0.2126   0.1229  -0.5065  -0.4382  -0.2895  -0.1037  -0.4967  -0.2792  -0.3882  -0.3886  -0.7592  -1.1059
1909  -0.2226  -0.8271  -0.4165  -0.5682  -0.1995  -0.9837  -0.8667  -0.8592  -0.7182  -1.1286  -1.3892  -1.0259
1910  -0.8626  -0.5871  -0.6765  -1.0682  -1.2395  -0.9237  -0.7367  -0.7792  -1.1582  -0.8186  -0.4092  -0.5859
1911  -0.5026  -0.5271  -0.6965  -0.9982  -0.8795  -0.5237  -0.0767  -0.1692   0.3518   0.3114   0.9608   1.0141
1912   1.6174   0.8829   0.8135   0.6918   0.1705  -0.1337   0.0333  -0.2792   0.2318  -0.0186   0.2808  -0.4359
1913  -0.1326   0.2329   0.2835  -0.6582  -0.1195  -0.0437  -0.0067   0.0308   0.1818   0.1414   0.9108   0.8941
1914   0.7674   0.8529   0.4435   0.8018   0.1705   0.1963   0.6633   1.0408   0.8118   0.3714   0.4208   0.7341
1915   0.9474   0.7029   0.6135   0.5818   0.6805   1.2063   0.2033   0.1708   0.3018   0.3514  -0.0292  -0.1759
1916  -0.0526  -0.5471  -0.4165  -0.5182  -0.0595  -0.2537  -0.9667  -1.3692  -1.2282  -1.2486  -1.6092  -1.5859
1917  -1.4926  -1.1471  -0.5165  -0.1782  -0.1295   0.0763   0.0933   0.2708   0.1118   0.1514  -0.3092  -0.6659
1918  -0.7726  -0.7671  -0.8365  -0.4482   0.0005   0.4863   0.0633   0.2408   0.5418   1.0414   1.3508   1.3541
1919   1.6674   1.2929   1.0235   0.8018   0.7905   0.7163   0.5433   0.7408   0.6418   0.2514  -0.2492   0.3941
1920   0.7074   0.6629   0.6535  -0.0482  -0.0395   0.4063   0.2833   0.2508   0.4018   0.6014   0.0308   0.0341
1921   0.4974  -0.4571  -1.2965  -0.4382  -0.7595  -0.1037  -0.1367  -0.1692  -0.0382   0.1514  -0.9192  -0.4459
1922  -0.4726  -0.0171   0.1935  -0.4282   0.3905  -0.3237  -0.3067  -0.6692  -0.2382  -0.1386  -0.1992  -0.4759
1923  -0.3426  -0.7071  -0.7265  -0.4382  -0.0795  -0.0337  -0.0567   0.3108   0.7818   0.9014   0.9808   1.0641
1924   0.5274   0.6829   0.5135   0.0918  -0.6795  -0.5537  -0.8367  -0.6692  -0.7282  -0.3386  -0.9792  -0.6059
1925  -0.9626  -0.4171  -0.4065  -0.4082  -0.2295  -0.0637   0.6433   0.7908   0.9018   0.9614   1.1208   1.6541
1926   1.5874   1.3529   1.3035   1.1218   0.9905   0.7163   0.7733   0.2708   0.0618  -0.2786  -0.1592  -0.1759
1927   0.1674   0.2929  -0.0565  -0.1582  -0.4195  -0.0337  -0.1667   0.0208  -0.0182   0.3814   0.0708   0.3041
1928   0.5374   0.2629  -0.1265  -0.1082   0.1305  -0.1437   0.1633  -0.1692   0.0018  -0.0086  -0.0492   0.0241
1929  -0.0826  -0.0171  -0.0265  -0.0382   0.0005   0.2363   0.1233   0.2208   0.4318   0.5114   0.3008   0.6841
1930   0.4174   0.4429   0.4135   0.5218   0.1305   0.3763   0.7733   0.8008   1.4218   1.2514   1.9008   1.4641
1931   1.5574   1.3929   1.3035   1.0718   0.7905   0.5863   0.5433   0.2608  -0.2882  -0.1086  -0.1592  -0.2259
1932  -0.3526  -0.1371   0.3735   0.3618   0.4405   0.2963   0.0233   0.2108   0.1518   0.1314   0.0708  -0.3559
1933  -0.1526  -0.0271  -0.0865   0.1218  -0.2395  -0.7437  -0.5267  -0.8292  -0.6382  -0.9886  -0.9492  -1.1559
1934  -0.8726  -0.8171  -0.8265  -0.3082  -0.3295  -0.2237  -0.2867  -0.2092  -0.3882  -0.1386   0.0008  -0.1959
1935  -0.2526  -0.1371  -0.1565  -0.2082  -0.3795  -0.2937  -0.5067   0.1708   0.2118   0.3914   0.4008   0.0141
1936   0.8074   0.5429   0.1235   0.4018   0.1005  -0.2437  -0.2067  -0.2092   0.0318   0.5014   0.0808   0.6841
1937  -0.2426   0.3529   0.3735   0.3218  -0.2595  -0.1837   0.2333  -0.0892   0.3118   0.0114   0.3308   0.2641
1938  -0.1426   0.2829   0.0635   0.2018  -0.1695  -0.7737  -0.8467  -0.6892  -0.1482  -0.6386  -0.6092  -0.7459
1939  -0.6026  -0.8971  -0.7265  -0.1582  -0.0895   0.1663   0.3933   0.1808   0.5718  -0.3486   0.4408   0.1041
1940   1.2474   1.4329   1.3035   0.9118   0.5105   0.6663   0.3433   0.8708   0.1818   0.4414   0.8108   1.4441
1941   1.4374   1.4029   1.5335   1.4718   1.4805   0.9963   0.8633   0.9008   0.8118   1.1014   1.2908   1.3241
1942   0.6774   0.5829   0.3735   0.6818   0.0605  -0.4037  -0.4167  -0.8392  -1.0382  -1.2086  -1.3892  -1.1859
1943  -1.1326  -1.1271  -0.9765  -0.4882  -0.1895   0.0063   0.0433   0.1708  -0.0982  -0.3286  -0.3792  -0.3659
1944  -0.3626   0.2129  -0.0865   0.2218   0.3005   0.1463   0.2133   0.1208  -0.1782  -0.1086  -0.2292  -0.2059
1945  -0.2926  -0.4171  -0.6665  -0.6482  -0.2895  -0.4837  -0.4667  -0.7292  -0.6882  -0.7486  -0.3092  -0.4859
1946  -0.3726  -0.1771  -0.2365  -0.3682  -0.2295   0.2563   0.1733  -0.3992  -0.0582   0.1114  -0.0692   0.0741
1947   0.4574  -0.0771   0.4035   0.0418  -0.3795   0.1763  -0.2567  -0.2492  -0.9182  -0.6986  -0.6092   0.2341
1948   0.1174   0.4229   0.7535   0.3618   0.4705   0.1763   0.0733   0.0908   0.1118  -0.5586  -0.1892   0.4241
1949  -0.3926   0.3129  -0.4365   0.3018   0.0905  -0.6037  -0.2467  -0.1992  -0.5182  -0.6086  -1.2092  -1.1459
1950  -0.9826  -1.4471  -0.9565  -0.7982  -1.1395  -0.7537  -0.9467  -0.5192  -0.9682  -0.7186  -1.2692  -0.9859
1951  -1.0626  -0.6871  -0.6565  -0.0582   0.0705   0.0263   0.7933   1.0108   0.8018   0.9014   0.9008   0.7641
1952   0.4574   0.2929   0.1635   0.5218  -0.2195  -0.5437  -0.4567  -0.3092  -0.2182   0.0814  -0.2092  -0.4959
1953   0.4274   0.2929   0.3435   0.8818   0.5105   0.5263   0.3333   0.1508   0.8018   0.2214   0.4208   0.2041
1954   0.4574   0.2729   0.1335  -0.2082  -0.3595  -0.6937  -0.8867  -0.9592  -0.8982  -0.7986  -1.0492  -0.7459
1955  -0.5926  -0.7271  -0.6765  -0.8382  -1.0595  -1.0837  -1.1767  -0.7992  -1.1982  -1.4786  -1.7892  -1.4659
1956  -1.1626  -0.9171  -0.8165  -0.6682  -0.4195  -0.7237  -0.8067  -0.6992  -0.7782  -0.5786  -0.8992  -0.5259
1957  -0.4926  -0.1871   0.2035   0.5318   0.6105   0.6463   0.8233   0.9008   0.6618   0.8614   1.2008   1.2241
1958   1.6074   1.4529   1.1135   0.4218   0.4905   0.4163   0.1733   0.3608  -0.1782   0.0814   0.1708   0.3541
1959   0.4974   0.5529   0.3835   0.3818   0.1505  -0.2137  -0.1367  -0.2892  -0.3982   0.2214  -0.0592   0.0041
1960   0.0874  -0.1871   0.0335   0.1218   0.2205  -0.0937  -0.1067   0.1108   0.1718   0.0514  -0.2692   0.0641
1961  -0.0826   0.0929   0.0235   0.2418   0.1605   0.2163  -0.1867  -0.1392  -0.3882  -0.5986  -0.0792  -0.2359
1962  -0.1826  -0.1071  -0.2865  -0.2082  -0.2495  -0.1037  -0.1667  -0.0192  -0.4282  -0.2086  -0.3192  -0.4459
1963  -0.2526  -0.2071   0.0635   0.0518   0.1605   0.2363   0.8633   1.0208   0.7818   0.9514   0.8608   1.0941
1964   0.8174   0.6029  -0.0365  -0.4182  -0.5695  -0.7637  -0.5067  -0.6492  -0.7982  -0.8886  -0.9892  -1.0159
1965  -0.5026  -0.2971  -0.2165   0.0218   0.3505   0.5663   0.9433   1.3608   1.3918   1.7214   1.6608   1.5041
1966   1.1974   0.8829   0.9435   0.6518   0.1105   0.2463   0.3633   0.0108   0.0818   0.0714  -0.2592  -0.2159
1967  -0.4926  -0.5071  -0.3465  -0.4182  -0.0695  -0.0137   0.0333  -0.1892  -0.4482  -0.2686  -0.2192  -0.2959
1968  -0.5326  -0.6871  -0.6365  -0.3582  -0.2695   0.2963   0.4533   0.4408   0.1818   0.4314   0.8808   0.8141
1969   0.9674   1.0829   0.7235   0.4418   0.5505   0.3763   0.2333   0.6308   0.6018   0.7714   0.8608   0.7341
1970   0.6174   0.4129   0.3835   0.2918   0.1705  -0.1937  -0.8367  -0.8392  -0.6482  -0.5386  -0.7292  -1.0659
